path,lang,hub,word_count,title_len,meta_len,h1_count,keyword_hits,title
a-propos.html,fr,general,466,55,25,1,14,À Propos | Pirabel Labs — L'Obsession de la Performance
avis.html,fr,general,127,27,87,3,7,Avis clients — Pirabel Labs
blog-article.html,fr,general,144,27,62,1,8,Article | Pirabel Labs Blog
blog.html,fr,general,838,54,76,1,19,Blog | Pirabel Labs &mdash; Actualit&eacute;s & Guides
candidature.html,fr,general,57,26,23,1,6,Candidature — Pirabel Labs
carrieres.html,fr,general,121,24,72,1,7,Carrières — Pirabel Labs
contact.html,fr,general,368,48,127,1,9,Contact | Pirabel Labs — Parlons de votre Projet
faq.html,fr,general,530,54,124,1,10,FAQ | Pirabel Labs &mdash; Questions Fr&eacute;quentes
gerer-rendez-vous.html,fr,general,66,36,0,1,1,Gérer mon rendez-vous — Pirabel Labs
index.html,fr,general,1250,55,144,1,27,"Pirabel Labs | Agence Digitale Premium — SEO, Web, IA &"
mentions-legales.html,fr,general,299,38,64,1,11,Mentions L&eacute;gales | Pirabel Labs
modifier-devis.html,fr,general,49,47,0,1,3,Demande de modification du devis — Pirabel Labs
politique-confidentialite.html,fr,general,414,50,141,1,17,Politique de Confidentialit&eacute; | Pirabel Labs
rendez-vous.html,fr,general,104,34,98,1,7,Prendre rendez-vous — Pirabel Labs
resultats.html,fr,general,195,43,151,1,11,&Eacute;tudes de Cas | Pirabel Labs &mdash;
services.html,fr,general,1647,23,138,1,53,Services – Pirabel Labs
status.html,fr,general,78,34,94,0,6,Statut des Services — Pirabel Labs
agence-creation-sites-web/abidjan.html,fr,web,630,39,124,1,1,Agence Sites Web Abidjan | Pirabel Labs
agence-creation-sites-web/bruxelles.html,fr,web,632,41,146,1,1,Agence Sites Web Bruxelles | Pirabel Labs
agence-creation-sites-web/casablanca.html,fr,web,636,42,145,1,1,Agence Sites Web Casablanca | Pirabel Labs
agence-creation-sites-web/cotonou.html,fr,web,638,39,139,1,1,Agence Sites Web Cotonou | Pirabel Labs
agence-creation-sites-web/dakar.html,fr,web,634,37,137,1,1,Agence Sites Web Dakar | Pirabel Labs
agence-creation-sites-web/developpement-sur-mesure.html,fr,web,1783,39,145,1,28,Développement Sur Mesure | Pirabel Labs
agence-creation-sites-web/figma-ui-design.html,fr,web,1872,33,148,1,37,Design UI/UX Figma | Pirabel Labs
agence-creation-sites-web/index.html,fr,web,2629,55,135,1,13,Agence Création de Sites Web | Pirabel Labs — Sites qui
agence-creation-sites-web/lyon.html,fr,web,636,36,134,1,1,Agence Sites Web Lyon | Pirabel Labs
